company_id,material_id,material_name,supplier,current_stock,minimum_stock,unit_cost,last_updated
68a123456789abcdef123456,RM001,Steel Rod,Tata Steel,4200,5000,85,2026-08-01
68a123456789abcdef123456,RM002,Aluminium Sheet,Hindalco,1800,2500,210,2026-08-02
68a123456789abcdef123456,RM003,Industrial Rubber,Polymer India,650,1000,145,2026-08-03
68a123456789abcdef123456,RM004,Copper Wire,Hindustan Copper,320,500,480,2026-08-04
68a123456789abcdef123456,RM005,Stainless Steel,Jindal Steel,900,1200,175,2026-08-05
68a123456789abcdef123456,RM006,Zinc Alloy,Vedanta Metals,780,1000,230,2026-08-06
68a123456789abcdef123456,RM007,Carbon Steel,JSW Steel,2100,2500,110,2026-08-07
68a123456789abcdef123456,RM008,Industrial Lubricant,Castrol India,180,300,620,2026-08-08
68a123456789abcdef123456,RM009,Brass Rod,Rajkot Metals,260,400,350,2026-08-09
68a123456789abcdef123456,RM010,Packaging Material,PackPro Supplies,950,1500,42,2026-08-10
